ISBN,Title,Author,Publisher,Published Year,Category,Total Copies,Description
978-3-16-148410-0,Sample Book Title,John Doe,Sample Publisher,2023,Fiction,5,This is a sample book description
978-0-13-468599-1,To Kill a Mockingbird,Harper Lee,J.B. Lippincott & Co.,1960,Fiction,3,Classic American novel about racial injustice in the Deep South
978-0-545-01022-1,Harry Potter and the Philosopher's Stone,J.K. Rowling,Bloomsbury,1997,Fantasy,10,First book in the Harry Potter series about a young wizard
978-0-7432-7356-5,1984,George Orwell,Secker & Warburg,1949,Dystopian,4,Dystopian social science fiction novel
978-0-06-112008-4,To Kill a Mockingbird,Harper Lee,Harper Perennial Modern Classics,2006,Fiction,2,Anniversary edition of the classic novel
978-1-4028-9462-6,The Great Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,1925,Fiction,6,Story of the mysteriously wealthy Jay Gatsby and his love for Daisy Buchanan
978-0-316-76948-0,The Catcher in the Rye,J.D. Salinger,Little Brown and Company,1951,Fiction,3,Story of teenage rebellion and alienation
978-0-452-28423-4,Animal Farm,George Orwell,Penguin Books,1945,Political Fiction,5,Allegorical novella about a group of farm animals who rebel
978-0-14-028329-5,Lord of the Flies,William Golding,Faber and Faber,1954,Fiction,4,Story of British boys stranded on an uninhabited island
978-0-7475-3269-9,Harry Potter and the Chamber of Secrets,J.K. Rowling,Bloomsbury,1998,Fantasy,8,Second book in the Harry Potter series
978-0-06-093546-7,Brave New World,Aldous Huxley,Chatto & Windus,1932,Science Fiction,3,Dystopian novel set in a futuristic World State
978-0-679-76489-8,Pride and Prejudice,Jane Austen,T. Egerton Whitehall,1813,Romance,5,Classic romance novel about Elizabeth Bennet and Mr. Darcy
978-0-14-017739-8,Of Mice and Men,John Steinbeck,Covici Friede,1937,Fiction,4,Tragic story of two displaced migrant ranch workers
978-0-14-303943-3,The Hobbit,J.R.R. Tolkien,George Allen & Unwin,1937,Fantasy,7,Fantasy adventure about Bilbo Baggins and his journey
978-0-439-02348-1,The Hunger Games,Suzanne Collins,Scholastic Press,2008,Science Fiction,6,Dystopian novel about survival and rebellion
,Missing Title Example,No ISBN Author,Test Publisher,2020,Test,1,This row has no ISBN - which is valid
978-0-7434-3487-0,A Brief History of Time,Stephen Hawking,Bantam Dell Publishing Group,1988,Science,3,From the Big Bang to Black Holes
978-0-14-118280-3,The Diary of a Young Girl,Anne Frank,Contact Publishing,1947,Biography,2,The diary of a Jewish girl during the Holocaust
978-0-671-02796-7,How to Win Friends and Influence People,Dale Carnegie,Simon & Schuster,1936,Self-Help,4,Self-help book about interpersonal skills
978-0-7432-7357-1,The Da Vinci Code,Dan Brown,Doubleday,2003,Mystery,5,Mystery thriller novel by Dan Brown
